OutfitId,OutfitSet,OutfitUrl
16940584,"['橙色top', '白色top', '白色top', '藍色pants']",https://wear.tw/genji/16940584/
16940469,"['藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16940469/
16940179,"['橙色top', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/16940179/
16911504,"['橙色top', '白色top', '黑色pants']",https://wear.tw/genji/16911504/
16911059,"['灰色top', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/16911059/
16910887,"['白色top', '藍色pants']",https://wear.tw/genji/16910887/
16910705,"['藍色top', '白色top', '藍色pants']",https://wear.tw/genji/16910705/
16873511,"['藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16873511/
16873350,"['橘色top', '橘色top', '黑色pants']",https://wear.tw/genji/16873350/
16873222,"['黑色top', '橘色pants']",https://wear.tw/genji/16873222/
16873068,"['白色top', '白色top', '黑色pants']",https://wear.tw/genji/16873068/
16858157,"['橘色top', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/16858157/
16858050,"['黑色outerwear', '白色top', '白色top', '橘色pants']",https://wear.tw/genji/16858050/
16836697,"['灰色top', '白色top', '灰色pants']",https://wear.tw/genji/16836697/
16836646,"['灰色top', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/16836646/
16835264,"['白色top', '藍色pants']",https://wear.tw/genji/16835264/
16835111,"['白色top', '白色top', '黑色pants']",https://wear.tw/genji/16835111/
16834987,"['黑色top', '白色top', '白色top', '橘色pants']",https://wear.tw/genji/16834987/
16804249,"['黑色outerwear', '橙色top', '白色top', '橙色pants']",https://wear.tw/genji/16804249/
16804220,"['黑色top', '白色top', '灰色pants']",https://wear.tw/genji/16804220/
16703336,"['灰色top', '白色top', '灰色pants']",https://wear.tw/genji/16703336/
16804121,"['灰色top', '灰色pants']",https://wear.tw/genji/16804121/
16774432,"['橘色top', '橙色pants']",https://wear.tw/genji/16774432/
16774304,"['橘色top', '橘色top', '灰色pants']",https://wear.tw/genji/16774304/
16774149,"['藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16774149/
16774025,"['藍色outerwear', '藍色top', '藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16774025/
16704064,"['灰色top', '白色top', '白色top', '橘色pants']",https://wear.tw/genji/16704064/
16703959,"['橙色top', '黑色top', '白色top', '橙色pants']",https://wear.tw/genji/16703959/
16703818,"['橙色top', '白色top', '白色top', '橘色pants']",https://wear.tw/genji/16703818/
16703675,"['橘色outerwear', '橙色top', '白色top', '橘色pants']",https://wear.tw/genji/16703675/
16727438,"['白色top', '黑色pants']",https://wear.tw/genji/16727438/
16703106,"['白色outerwear', '橙色top', '白色top', '黑色pants']",https://wear.tw/genji/16703106/
16702923,"['橙色top', '橘色top', '藍色pants']",https://wear.tw/genji/16702923/
16702716,"['灰色outerwear', '灰色top', '橙色top', '橘色top', '藍色pants']",https://wear.tw/genji/16702716/
16674743,"['黑色outerwear', '藍色top', '橘色top', '橘色top', '黑色pants']",https://wear.tw/genji/16674743/
16673651,"['白色top', '黑色pants']",https://wear.tw/genji/16673651/
16673502,"['橘色outerwear', '白色top', '黑色pants']",https://wear.tw/genji/16673502/
16673380,"['黑色outerwear', '橙色top', '白色top', '藍色pants']",https://wear.tw/genji/16673380/
16673234,"['藍色top', '藍色top', '橘色top', '黑色pants']",https://wear.tw/genji/16673234/
16669369,"['橙色top', '橘色top', '黑色pants', '橘色top']",https://wear.tw/genji/16669369/
16607710,"['橙色outerwear', '白色top']",https://wear.tw/genji/16607710/
16607001,"['黑色outerwear', '橙色top', '橘色pants']",https://wear.tw/genji/16607001/
16594029,"['黑色outerwear', '藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16594029/
16594209,"['灰色top', '白色top', '白色pants']",https://wear.tw/genji/16594209/
16624772,"['綠色top', '白色top', '黑色pants']",https://wear.tw/genji/16624772/
16624274,"['灰色top', '橙色top', '白色top', '藍色pants']",https://wear.tw/genji/16624274/
16593669,"['黑色outerwear', '藍色top', '白色top', '橙色outerwear']",https://wear.tw/genji/16593669/
16572596,"['黑色outerwear', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/16572596/
16593590,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/16593590/
16572485,"['白色top', '白色top', '黑色pants']",https://wear.tw/genji/16572485/
16567140,"['黑色top', '白色top', '橙色pants']",https://wear.tw/genji/16567140/
16567036,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/16567036/
16565510,"['白色top', '白色top', '白色pants']",https://wear.tw/genji/16565510/
16553329,"['橘色top', '白色top', '白色top', '橙色pants']",https://wear.tw/genji/16553329/
16547156,"['橘色outerwear', '藍色top', '橘色top']",https://wear.tw/genji/16547156/
16546789,"['灰色top', '橙色top', '灰色pants']",https://wear.tw/genji/16546789/
16546624,"['橘色top', '橘色top', '橙色outerwear']",https://wear.tw/genji/16546624/
16534273,"['黑色outerwear', '白色top', '黑色pants']",https://wear.tw/genji/16534273/
16534189,"['橘色top', '白色top', '白色pants']",https://wear.tw/genji/16534189/
16527384,"['黑色top', '白色top', '黑色pants']",https://wear.tw/genji/16527384/
16514137,"['白色top', '白色top', '橙色outerwear']",https://wear.tw/genji/16514137/
16509136,"['黑色outerwear', '白色top', '黑色pants']",https://wear.tw/genji/16509136/
16507998,"['黑色top', '白色top', '橙色outerwear']",https://wear.tw/genji/16507998/
16504222,"['橘色outerwear', '白色top', '黑色pants']",https://wear.tw/genji/16504222/
16393515,"['灰色outerwear', '藍色top', '白色top', '黑色pants']",https://wear.tw/genji/16393515/
16492157,"['灰色top', '黑色top', '黑色pants']",https://wear.tw/genji/16492157/
16478125,"['灰色top', '白色top', '白色pants']",https://wear.tw/genji/16478125/
16461587,"['黑色top', '白色top', '黑色pants']",https://wear.tw/genji/16461587/
16460019,"['橙色outerwear', '橘色top', '橘色top', '橘色top', '黑色pants']",https://wear.tw/genji/16460019/
16459294,"['白色top', '白色top', '橙色pants']",https://wear.tw/genji/16459294/
16447570,"['橘色outerwear', '黑色top', '白色top', '黑色pants']",https://wear.tw/genji/16447570/
16446263,"['藍色outerwear', '白色top', '橙色pants']",https://wear.tw/genji/16446263/
16446152,"['橘色outerwear', '橙色top', '白色top', '橙色pants']",https://wear.tw/genji/16446152/
16434571,"['橘色outerwear', '黑色top', '白色top', '黑色pants']",https://wear.tw/genji/16434571/
16431751,"['黑色top', '白色pants']",https://wear.tw/genji/16431751/
16420503,"['橘色outerwear', '白色top', '橙色pants']",https://wear.tw/genji/16420503/
16420389,"['藍色outerwear', '藍色top', '黑色pants']",https://wear.tw/genji/16420389/
